FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Brice,Dja Djedje,DEF,WAT,4400000,0,0,0,0,0,0,1056,0,0,0,0,0,0,0,0,11,-1,0,0,1,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,1,0,0,0,Stoke,West Brom,Everton,Man City,Sunderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papy,Djilobodji,DEF,SUN,4300000,3,11,1.2,2.7906976744186E-07,2.55813953488372E-06,0,7345,2,16,0,0,0,0,0,2.6,513,-2,0,11,2,0.3,0,1.3,0,0,1,0,0,0.2,2971,0,0,0,0,767,84,0,1,122,Liverpool,Leicester,Swansea,Chelsea,Watford,0,0.7,0.7,0.7,0.8,0.6,0.6,1.4,1,0.6,0.8,0.8,0.9,0.6,0.6,0.6,1,0.6,0.6,0.6,1.4,1.1,1.2,0.7,0.7,0.6
Abdoulaye,Doucoure,MID,WAT,4600000,0,1,0.0277777777777778,6.03864734299517E-09,2.17391304347826E-07,0,806,0,1,0,0,0,0,0,0.2,12,-4,0,1,4,0,0,0,0,0,0,0,0,0,152,0,0,0,0,7,7,0,0,3,Stoke,West Brom,Everton,Man City,Sunderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stewart,Downing,MID,MID,5200000,1,37,3.1,5.96153846153846E-07,7.11538461538462E-06,0,40441,1,12,0,0,0,1,0,7.1,1249,-3,0,37,3,0.8,0,4.3,3,0,2,0,2,0.5,13949,0,0,0,0,913,688,0,0,172,Leicester,Hull City,Southampton,Liverpool,Swansea,2.9,2.4,2.6,1.8,2.5,2.5,2.9,3.7,2.8,2.4,2.3,2.2,2.9,2.8,2.9,3.6,2.7,3.2,2.9,3.3,1.6,2.3,1.8,2,2.5,1.6
Luke,Dreher,MID,CRY,4500000,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,8,0,0,0,Swansea,Southampton,Hull City,Man Utd,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel,Drinkwater,MID,LEI,5300000,1,31,2.6,4.90566037735849E-07,5.84905660377358E-06,0,269149,1,20,0,0,0,0,0,5.8,12732,-2,0,31,2,0.3,0,1.7,2,0,3,0,1,4.9,66805,0,592,0,0,1068,579,0,0,192,Middlesbrough,Sunderland,Man City,Bournemouth,Stoke,0,0,0,1.3,1.5,2.8,2.4,1.9,2,1.3,1.3,2.6,1.7,1.8,2.3,1.3,1.3,2.3,3.3,1.3,1.4,2.3,1.4,2.6,1.3,2.8
Nathan,Dyer,MID,SWA,4700000,1,2,0.0555555555555556,1.18203309692671E-08,4.25531914893617E-07,0,6556,0,2,0,0,0,0,0,0.4,35,-3,0,2,3,0.1,0,0.3,0,0,0,0,0,0.1,962,0,64,0,0,16,39,0,0,6,Crystal Palace,Tottenham,Sunderland,West Brom,Middlesbrough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oviemuno,Ejaria,MID,LIV,4500000,0,1,0.0277777777777778,6.17283950617284E-09,2.22222222222222E-07,0,85,0,0,0,0,0,0,0,0.2,7,0,0,1,0,0.1,0,0.3,0,0,0,0,0,0,112,0,0,0,0,4,9,0,0,3,Sunderland,Bournemouth,West Ham,Middlesbrough,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahmed,Elmohamady,MID,HUL,4800000,2,19,1.7,3.54166666666667E-07,3.95833333333333E-06,0,18877,0,25,0,0,0,0,0,4,235,-2,0,19,2,0.4,0,2,0,0,1,0,0,0.2,6339,0,0,0,0,928,60,0,1,155,West Brom,Middlesbrough,Crystal Palace,Tottenham,West Ham,0.9,1.3,0.8,0.8,0.8,0.8,1.2,0.9,1.2,0.8,1.1,0.8,0.8,1.4,1.1,1,0.8,0.9,1.1,0.8,1,1.1,0.9,1.5,1,0.9
Mohamed,Elneny,MID,ARS,4600000,2,15,0.416666666666667,9.05797101449275E-08,3.26086956521739E-06,0,26371,0,7,0,0,0,0,0,3.3,426,-4,0,15,4,0.3,0,1.3,0,0,1,0,1,0.5,7751,0,134,0,0,356,401,0,0,86,Bournemouth,West Ham,Stoke,Everton,Man City,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
