FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Adlene,Guedioura,MID,WAT,4500000,1,9,0.333333333333333,7.40740740740741E-08,2E-06,0,4501,1,6,0,0,0,0,0,2,169,0,0,9,0,0.2,0,0.7,0,0,0,0,1,0.1,4846,0,56,0,0,229,24,0,0,42,Hull City,Liverpool,Leicester,Stoke,West Brom,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Idrissa,Gueye,MID,EVE,5000000,1,20,2.2,4.4E-07,4E-06,0,16059,4,7,0,0,0,0,0,4,1860,0,0,20,0,0.3,0,1.3,1,0,2,0,1,0.5,21246,0,270,0,0,792,270,0,0,174,West Ham,Chelsea,Swansea,Southampton,Man Utd,1.6,1.1,1.8,1.1,2.1,1.5,1.1,1.3,1.2,1.6,1.8,1.4,1.3,1.3,2.2,2,2.4,1.1,1.7,1.4,1.1,1.4,2.8,2.4,1.1,1.6,1.6,1.7,1.1
Ilkay,Gundogan,MID,MCI,5400000,2,15,0.555555555555556,1.02880658436214E-07,2.77777777777778E-06,0,37908,0,3,0,0,0,1,0,2.8,4692,-1,0,15,1,0.3,0,1.7,0,0,1,0,0,1.4,60901,0,0,0,0,355,3712,0,0,81,West Brom,Middlesbrough,Crystal Palace,Burnley,Chelsea,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Bradley,Guzan,GLK,MID,4400000,0,9,0.333333333333333,7.57575757575757E-08,2.04545454545455E-06,0,17931,0,1,0,6,0,0,0,2,873,-1,0,9,1,0,0,0,0,0,1,0,0,0.7,8399,0,188,0,0,180,61,0,0,40,Bournemouth,Man City,Chelsea,Leicester,Hull City,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Ben,Hamer,GLK,LEI,4500000,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,6,0,0,0,Tottenham,West Brom,Watford,Middlesbrough,Sunderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe,Hart,GLK,MCI,5300000,0,0,0,0,0,0,167246,0,0,0,0,0,0,0,0,1027,-2,0,0,2,0,0,0,0,0,0,0,0,1.3,2353,0,360,0,0,0,10,0,0,0,West Brom,Middlesbrough,Crystal Palace,Burnley,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakob,Haugaard,GLK,STK,4300000,0,0,0,0,0,0,2509,0,0,0,0,0,0,0,0,88,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,147,0,31,0,0,0,4,0,0,0,Swansea,West Ham,Bournemouth,Watford,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eden,Hazard,MID,CHE,9800000,8,49,5.4,5.51020408163265E-07,5E-06,0,786581,2,9,0,0,0,4,0,5,8229,-2,0,49,2,0.6,0,6.3,6,0,4,0,1,19,696952,0,476,0,1,742,58647,0,0,190,Southampton,Everton,Middlesbrough,Tottenham,Man City,4.4,7,7,6.5,3.9,6.6,6.1,5.3,7.9,6.6,3.8,5.1,6,3,4.8,4.5,6.8,4.5,6.8,5.2,6.3,6,3.9,5.4,7,4.6,7.3,5,8.1
Tom,Heaton,GLK,BUR,4600000,4,39,4.3,9.34782608695652E-07,8.47826086956522E-06,0,87699,0,13,0,47,0,0,0,8.5,2894,1,0,39,-1,0.8,0,3.7,4,0,2,0,0,9.6,250912,0,0,0,2,810,24167,0,0,200,Man Utd,Crystal Palace,West Brom,Man City,Stoke,2.6,6.3,3.9,5.5,4.6,6.4,4.3,4,5,6.3,2.9,6.4,4.8,6.2,3.8,5.8,4.6,3.9,4.1,3.8,6.4,6.4,3.8,3,5.3,4.7,6,3.4,6.4
Jordan,Henderson,MID,LIV,6400000,1,26,2.9,4.53125E-07,4.0625E-06,0,29823,5,11,0,0,0,1,0,4.1,3656,-1,0,26,1,0.5,0,3,4,0,1,0,1,1.2,29378,0,250,0,0,793,2039,0,0,174,Crystal Palace,Watford,Southampton,Sunderland,Bournemouth,2,2.7,1.6,3.6,1.4,2.5,3,1.7,2.6,2.3,2.5,2.1,2.7,2.5,2.5,2.5,1.9,1.7,3.6,1.4,2.8,3.4,2,1.9,2.4,2.3,2.8,1.7,3.1
Jeff,Hendrick,MID,BUR,5400000,1,16,2.7,5E-07,2.96296296296296E-06,0,1370,1,9,0,0,0,1,0,3,214,-1,0,16,1,0.3,0,1.7,0,0,1,0,0,0.1,2946,0,0,0,0,466,75,0,0,58,Man Utd,Crystal Palace,West Brom,Man City,Stoke,1.5,2.4,1.4,2.3,1.4,3.3,1.4,1.4,3,3.5,1.4,2.8,1.4,3.9,1.6,2.5,1.8,1.8,1.4,1.8,2.5,2.5,2.2,1.4,3.1,1.4,2.6,1.4,2.4
Wayne,Hennessey,GLK,CRY,4400000,0,5,0.185185185185185,4.20875420875421E-08,1.13636363636364E-06,0,92843,0,2,0,6,0,0,0,1.1,3548,-1,0,5,1,0,0,0,0,0,0,0,0,2.4,12494,0,266,0,0,180,65,0,0,29,Liverpool,Burnley,Man City,Swansea,Southampton,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Rouwen,Hennings,FWD,BUR,4500000,0,0,0,0,0,0,3338,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0.1,413,0,0,0,0,0,5,0,0,0,Man Utd,Crystal Palace,West Brom,Man City,Stoke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Markus,Henriksen,MID,HUL,5200000,0,3,0.111111111111111,2.13675213675214E-08,5.76923076923077E-07,0,518,0,2,0,0,0,0,0,0.6,47,-3,1,3,3,0.1,0,0.7,0,0,0,0,0,0,726,0,0,0,0,89,10,-1,0,5,Watford,Southampton,Sunderland,West Brom,Middlesbrough,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Abel,Hernandez,FWD,HUL,6000000,1,21,2.6,4.33333333333333E-07,3.5E-06,0,95663,0,9,0,0,0,1,0,3.5,7841,0,0,21,0,0.1,0,0.7,0,0,2,0,1,1.6,105437,0,0,0,0,573,1207,0,0,41,Watford,Southampton,Sunderland,West Brom,Middlesbrough,2.7,2.1,3,2.1,2.9,2.1,2,2.7,2.5,2.1,2.7,2.4,2.1,2.3,2.6,2.4,2.7,2.1,2.1,2.3,2.2,1.7,2.9,2.7,1.8,2.3,2.6,3,1.9
Luis,Hernandez,DEF,LEI,4300000,0,2,0.0740740740740741,1.72265288544358E-08,4.65116279069767E-07,0,14554,0,7,0,0,0,0,0,0.5,596,-2,0,2,2,0.1,0,0.3,0,0,0,0,0,0.4,4272,0,0,0,0,237,100,0,0,41,Tottenham,West Brom,Watford,Middlesbrough,Sunderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ander,Herrera,MID,MUN,6300000,2,11,1.6,2.53968253968254E-07,1.74603174603175E-06,0,9339,2,7,0,0,0,0,0,1.7,533,-2,0,11,2,0.3,0,2,0,0,1,0,0,0.3,5964,0,307,0,0,497,2066,0,0,102,Burnley,Swansea,Arsenal,West Ham,Everton,1.5,1,0.8,0.9,0.8,0.9,0.8,0.8,1.5,1.2,0.8,0.8,0.8,0.8,0.8,1,0.8,1.4,0.8,1.2,1,1.1,1,0.9,0.8,1,0.8,0.8,0.9
Jake,Hesketh,MID,SOU,4500000,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,8,0,0,0,Chelsea,Hull City,Liverpool,Everton,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben,Hinchcliffe,FWD,HUL,4500000,0,0,0,0,0,0,895,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,1511,0,0,0,0,0,86,0,0,0,Watford,Southampton,Sunderland,West Brom,Middlesbrough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tommie,Hoban,DEF,WAT,4000000,0,0,0,0,0,0,9711,0,0,0,0,0,0,0,0,361,0,0,0,0,0,0,0,0,0,0,0,0,0.3,984,0,0,0,0,0,6,0,0,0,Hull City,Liverpool,Leicester,Stoke,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
