FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Per,Mertesacker,DEF,ARS,4800000,0,0,0,0,0,0,4896,0,0,0,0,0,0,0,0,63,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,991,0,265,0,0,0,40,0,0,0,Swansea,Burnley,Watford,Chelsea,Hull City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David,Meyler,MID,HUL,4400000,0,26,0.433333333333333,9.84848484848485E-08,5.90909090909091E-06,0,15556,1,19,0,0,0,1,0,5.9,375,-1,0,26,1,0.1,0,0.3,0,0,1,0,0,0.2,14674,0,0,0,0,758,74,0,0,146,Bournemouth,Chelsea,Man Utd,Liverpool,Arsenal,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Matt,Miazga,DEF,CHE,4400000,0,0,0,0,0,0,3767,0,0,0,0,0,0,0,0,21,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,424,0,18,0,0,0,3,0,0,0,Leicester,Hull City,Liverpool,Arsenal,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simon,Mignolet,GLK,LIV,4700000,2,40,4,8.51063829787234E-07,8.51063829787234E-06,0,111152,0,11,0,20,0,0,0,8.5,2710,-3,0,40,3,0.9,0,4,2,0,3,0,0,2.4,94710,0,340,1,0,900,5445,0,0,184,Man Utd,Swansea,Chelsea,Hull City,Tottenham,3.1,4.8,4.9,4.4,5.4,2.7,5.8,5.4,3.9,4.9,5.8,4.6,4,5.2,3.7,5.9,4.7,5.1
,Mika,GLK,SUN,4400000,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0,8,-1,0,0,1,0,0,0,0,0,0,0,0,0,281,0,0,0,0,0,7,0,0,0,Stoke,West Brom,Tottenham,Crystal Palace,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Obi,Mikel,MID,CHE,4400000,0,0,0,0,0,0,4970,0,0,0,0,0,0,0,0,54,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,1893,0,209,0,0,0,15,0,0,0,Leicester,Hull City,Liverpool,Arsenal,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James,Milner,MID,LIV,6400000,0,80,4.4,6.875E-07,1.25E-05,0,389246,2,17,0,0,0,5,0,12.3,33425,-1,1,80,1,0.4,0,2.7,10,0,6,0,2,5,514754,0,508,0,3,1556,2918,-1,0,393,Man Utd,Swansea,Chelsea,Hull City,Tottenham,0,5.1,4.3,3.9,4.6,4.1,3.9,6.4,3.2,5.3,5.4,3.8,3.7,4.7,4.4,5.1,3.3,5.4
Tyrone,Mings,DEF,BOU,4500000,0,1,0.0166666666666667,3.7037037037037E-09,2.22222222222222E-07,0,1159,0,0,0,0,0,0,0,0.2,51,0,0,1,0,0,0,0.2,0,0,0,0,0,0,833,0,1,0,0,1,37,0,0,3,Hull City,Watford,Crystal Palace,Everton,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin,Mirallas,MID,EVE,6000000,3,56,2.9,4.83333333333333E-07,9.33333333333333E-06,0,214862,1,14,0,0,0,2,0,9.3,3373,-5,0,56,5,0.6,0,3.3,2,0,5,0,3,1.9,224963,0,245,0,0,1128,2527,0,0,195,Man City,Crystal Palace,Stoke,Bournemouth,Middlesbrough,2.2,2,1.9,3,2.1,3.9,1.4,2.7,2.8,1.4,2,3.6,3.7,1.6,2.3,2.1,3.4,1.4
Henrikh,Mkhitaryan,MID,MUN,9000000,3,26,0.433333333333333,4.81481481481482E-08,2.88888888888889E-06,0,280281,1,4,0,0,0,2,0,2.9,9101,-5,0,26,5,0.3,0,3,0,0,3,0,0,2.6,106246,0,0,0,0,484,5092,0,0,110,Liverpool,Stoke,Hull City,Leicester,Watford,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
