FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Nampalys,Mendy,MID,LEI,4400000,0,0,0,0,0,0,23270,1,0,0,0,0,0,0,0,2573,-1,0,0,1,0,0,0,0,0,0,0,0,0.5,2070,0,0,0,0,52,128,0,0,-1,Man Utd,Southampton,Chelsea,Crystal Palace,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Per,Mertesacker,DEF,ARS,4900000,0,0,0,0,0,0,3362,0,0,0,0,0,0,0,0,270,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,406,0,265,0,0,0,44,0,0,0,Chelsea,Burnley,Swansea,Middlesbrough,Sunderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David,Meyler,MID,HUL,4500000,2,10,2,4.44444444444444E-07,2.22222222222222E-06,0,4545,1,7,0,0,0,0,0,2.2,1027,0,0,10,0,0.4,0,1.7,0,0,1,0,0,0.2,4320,0,0,0,0,432,624,0,0,73,Liverpool,Chelsea,Bournemouth,Stoke,Watford,1,1,1.4,1,1.8,1.3,2.3,1,2.2,1,1.3,1.2,1,1,1.5,1.4,1.3,2,1,1.2,1.6,1.5,1,1.5,1,1.1,1.1,2,1,1.2,1.1,1.5,1
Matt,Miazga,DEF,CHE,4400000,0,0,0,0,0,0,2930,0,0,0,0,0,0,0,0,307,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,349,0,18,0,0,0,9,0,0,0,Arsenal,Hull City,Leicester,Man Utd,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simon,Mignolet,GLK,LIV,5000000,3,16,3.2,6.4E-07,3.2E-06,0,39716,0,8,0,10,0,0,0,3.2,7080,0,0,16,0,0.5,0,2.7,1,0,0,0,0,3.3,58449,0,340,1,0,450,15218,0,0,81,Hull City,Swansea,Man Utd,West Brom,Crystal Palace,2.9,3.1,2.6,3.7,3.2,3.2,2.9,3.8,2.6,4.8,2,2.1,4.5,3.1,2.9,1.6,3.7,3.3,3.2,3.9,1.6,4.5,4.5,1.8,3.1,4.8,3.8,2.5,4.7,2.5,4.8,3.1,3
,Mika,GLK,SUN,4500000,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,27,0,0,0,Crystal Palace,West Brom,Stoke,West Ham,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Obi,Mikel,MID,CHE,4400000,0,0,0,0,0,0,2813,0,0,0,0,0,0,0,0,446,-1,1,0,1,0,0,0,0,0,0,0,0,0.1,1307,0,209,0,0,0,193,-1,0,0,Arsenal,Hull City,Leicester,Man Utd,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James,Milner,MID,LIV,6500000,2,19,1.26666666666667,1.94871794871795E-07,2.92307692307692E-06,0,20322,0,5,0,0,0,1,0,2.9,5592,0,0,19,0,0.9,0,5.7,3,0,0,0,1,1.3,29163,0,508,0,1,346,6892,0,0,93,Hull City,Swansea,Man Utd,West Brom,Crystal Palace,0.6,0.6,0.9,0.7,0.6,0.7,0.6,1,0.6,0.9,0.6,0.6,0.8,0.6,0.7,0.6,0.7,0.7,0.6,0.6,0.6,0.6,1.3,0.6,0.6,1.2,0.6,0.6,0.7,0.6,1.1,0.6,1
Tyrone,Mings,DEF,BOU,4500000,0,0,0,0,0,0,414,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,281,0,1,0,0,0,77,0,0,0,Everton,Watford,Hull City,Tottenham,Middlesbrough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin,Mirallas,MID,EVE,6600000,2,24,4.8,7.27272727272727E-07,3.63636363636364E-06,0,82934,0,3,0,0,0,1,0,3.6,29245,1,0,24,-1,0.6,0,3.7,1,0,2,0,2,4.5,193063,0,245,0,0,385,16289,0,0,76,Bournemouth,Crystal Palace,Man City,Burnley,West Ham,4.7,4.9,3.8,5,5.4,4.6,4.9,4.3,5.7,5.6,3.2,4.6,5.1,6.4,6.4,3.7,4.8,6.1,6.6,6.6,5.8,4.3,4.6,3.7,3.2,6.1,6.9,7,4,4.6,6.2,4.5,4.2
