FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
James,Tomkins,DEF,CRY,5000000,1,10,0.476190476190476,9.52380952380952E-08,2E-06,0,1758,1,4,0,0,0,1,0,2,205,0,0,10,0,0.6,0,3,0,0,0,0,0,0.1,2353,0,221,0,0,234,613,0,0,44,West Ham,Leicester,Liverpool,Burnley,Man City,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.3,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2
Gokhan,Tore,MID,WHU,5500000,1,10,0.476190476190476,8.65800865800866E-08,1.81818181818182E-06,0,9123,0,4,0,0,0,0,0,1.8,742,0,0,10,0,0.1,0,0.3,0,0,1,0,1,0.1,8880,0,0,0,0,240,27,0,0,29,Crystal Palace,Sunderland,Everton,Stoke,Tottenham,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Andros,Townsend,MID,CRY,6300000,1,24,3.4,5.3968253968254E-07,3.80952380952381E-06,0,155589,2,7,0,0,0,1,0,3.8,11242,-2,0,24,2,0.9,0,5.7,3,0,1,0,1,3.9,71594,0,315,0,1,610,8795,0,0,104,West Ham,Leicester,Liverpool,Burnley,Man City,3.1,2.9,2.5,2.5,2.8,3.7,3.3,3.7,3.2,2.9,3.1,2.2,3,2.6,3.1,2.4,3.9,3.4,3.7,2.9,2.7,3.3,2.6,2.6,1.9,4.3,1.7,4.3,2,2.5,3.2
Bertrand,Traore,MID,CHE,5400000,0,0,0,0,0,0,2091,0,0,0,0,0,0,0,0,39,-1,0,0,1,0,0,0,0,0,0,0,0,0,86,0,101,0,0,0,8,0,0,0,Leicester,Man Utd,Southampton,Everton,Middlesbrough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adama,Traore,MID,MID,4900000,0,1,0.0476190476190476,9.71817298347911E-09,2.04081632653061E-07,0,619,1,0,0,0,0,0,0,0.2,84,-1,0,1,1,0,0,0,0,0,0,0,0,0,987,0,0,0,0,42,26,0,0,8,Watford,Arsenal,Bournemouth,Man City,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kieran,Trippier,DEF,TOT,4800000,0,0,0,0,0,0,2585,0,0,0,0,0,0,0,0,133,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,339,0,110,0,0,0,45,0,0,0,West Brom,Bournemouth,Leicester,Arsenal,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh,Tymon,DEF,HUL,4000000,0,0,0,0,0,0,1161,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2094,0,0,0,0,0,350,0,0,0,Bournemouth,Stoke,Watford,Southampton,Sunderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leonardo,Ulloa,FWD,LEI,5700000,1,5,0.238095238095238,4.17710944026733E-08,8.7719298245614E-07,0,7726,0,2,0,0,0,0,0,0.9,476,-3,0,5,3,0.1,0,0.3,0,0,0,0,0,0.2,2057,0,226,0,0,82,203,0,0,10,Chelsea,Crystal Palace,Tottenham,West Brom,Watford,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Fredrik,Ulvestad,MID,BUR,4400000,0,0,0,0,0,0,1797,0,0,0,0,0,0,0,0,121,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,489,0,0,0,0,0,4,0,0,0,Southampton,Everton,Man Utd,Crystal Palace,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victor,Valdes,GLK,MID,4500000,2,9,1.8,4E-07,2E-06,0,128031,0,9,0,9,0,0,0,2,5837,0,0,9,0,0.4,0,2,0,0,0,0,0,4.5,22344,0,0,0,0,450,956,0,0,58,Watford,Arsenal,Bournemouth,Man City,Chelsea,1.2,2.5,2.1,0.9,1.1,0.9,1,1.5,2.3,1.1,1.1,1,1.4,1.2,2.3,1.3,1.4,1.2,1.7,2.1,1.3,0.9,1.6,1.7,1.9,2.3,1.3,1.2,1.1,1.7,1.9
Antonio,Valencia,DEF,MUN,5600000,1,23,3.3,5.89285714285714E-07,4.10714285714286E-06,0,175943,1,6,0,0,0,0,0,4.1,41244,1,0,23,-1,0.3,0,1.7,3,0,2,0,0,11.7,238679,0,186,0,1,601,4257,0,0,138,Liverpool,Chelsea,Burnley,Swansea,Arsenal,4,2.7,4.5,3.8,4.3,4.6,2.8,3.9,4,3.4,3.5,2.7,4.2,4.9,4.5,2.9,2.3,3.2,2.4,4.9,3.7,3.1,3.4,3.2,3.4,3.1,2.8,3.2,4.5,3.4,3.9
Enner,Valencia,FWD,EVE,5400000,0,10,2,3.7037037037037E-07,1.85185185185185E-06,0,117479,0,4,0,0,0,0,0,1.9,10541,-1,0,10,1,0.1,0,0.7,0,0,1,0,1,2.3,80712,0,200,0,0,246,1661,0,0,14,Man City,Burnley,West Ham,Chelsea,Swansea,1.4,1.1,2.2,1.4,1.9,1.1,1.5,1.8,1.3,2.6,1,2.4,1.7,2.1,1.5,2.2,2.3,1.6,2,1,1.7,1.9,1.6,1.2,2.1,2.3,1.7,1.9,2,2.2,1.2
Patrick,van Aanholt,DEF,SUN,5000000,7,21,3.5,7E-07,4.2E-06,0,94732,0,11,0,0,0,2,0,4.2,4779,0,0,21,0,0.5,0,2.7,2,0,0,0,0,5.1,68740,0,369,0,1,485,10025,0,0,101,Stoke,West Ham,Arsenal,Bournemouth,Hull City,4.7,4.4,4.6,3.5,3.2,4.1,4.1,4,3.5,3.6,2.7,3,5.2,4.6,3.7,4.3,4.2,4.7,3,3.6,3.3,4.9,3.2,2.5,2.8,5,4.7,5.2,4.3,3.5,2.9
Mike,van der Hoorn,DEF,SWA,4300000,1,1,0.0476190476190476,1.10741971207087E-08,2.32558139534884E-07,0,5522,1,5,0,0,0,0,0,0.2,249,-2,0,1,2,0.1,0,0.3,0,0,0,0,0,0.1,1115,0,0,0,0,180,334,0,0,17,Arsenal,Watford,Stoke,Man Utd,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virgil,van Dijk,DEF,SOU,5400000,9,25,3.6,6.66666666666667E-07,4.62962962962963E-06,0,181553,3,6,0,0,0,0,0,4.6,5071,-1,0,25,1,1.3,0,7,4,0,3,0,0,8.9,47720,0,452,0,1,630,31199,0,0,147,Burnley,Man City,Chelsea,Hull City,Liverpool,5.4,2.4,3.9,4.1,5.4,4,4.1,3.5,4.5,3.3,4.8,4.2,2.8,2.8,4.6,3.9,5.3,3.4,5,3,3.2,3.5,5.4,4.8,3.5,4,2.7,3.6,3.9,3.1,5
Marco,Van Ginkel,MID,CHE,4900000,0,0,0,0,0,0,958,0,0,0,0,0,0,0,0,43,-1,0,0,1,0,0,0,0,0,0,0,0,0,89,0,81,0,0,0,1,0,0,0,Leicester,Man Utd,Southampton,Everton,Middlesbrough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamie,Vardy,FWD,LEI,9700000,2,27,3.9,4.02061855670103E-07,2.78350515463918E-06,0,608623,0,11,0,0,0,2,0,2.8,59562,-3,1,27,3,0.3,0,3,3,0,3,0,1,12.5,131380,0,945,0,0,560,2964,-1,0,92,Chelsea,Crystal Palace,Tottenham,West Brom,Watford,3.2,5.1,2.3,5,3.9,4.9,3.9,5.7,2.5,4.3,4.9,5.8,3.6,5.3,2.5,2.5,4.6,4.3,5.8,5.3,2.8,3.8,5.7,5.6,2.7,3.4,4.5,3.3,5.8,3.2,5.8
Guillermo,Varela,DEF,MUN,4500000,0,0,0,0,0,0,301,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,36,0,0,0,4,0,0,0,Liverpool,Chelsea,Burnley,Swansea,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan,Vertonghen,DEF,TOT,5600000,6,30,4.3,7.67857142857143E-07,5.35714285714286E-06,0,43958,2,3,0,0,0,0,0,5.5,5191,1,-1,30,-1,0.9,0,5,2,0,4,0,0,6.9,175062,0,335,0,0,630,61929,1,0,157,West Brom,Bournemouth,Leicester,Arsenal,West Ham,4.7,4.4,5.7,5.5,6.3,3.7,5,3.5,4.6,6.4,5,4.1,4.9,5.3,3.3,4.6,4.5,4.8,5.9,5.1,5.4,6.4,3.8,5.1,5.1,6.4,3.2,5.9,5.1,4.1,5.4
Sam,Vokes,FWD,BUR,6000000,2,20,2.9,4.83333333333333E-07,3.33333333333333E-06,0,34256,0,7,0,0,0,1,0,3.3,4287,0,0,20,0,0.3,0,1.7,3,0,2,0,0,0.9,42841,0,0,0,0,558,2828,0,0,41,Southampton,Everton,Man Utd,Crystal Palace,West Brom,1.4,3.3,1.6,3.4,1.9,4,2.9,4.2,2.2,1.4,3.3,3.9,1.8,3.4,1.5,3.9,2.3,3.6,3.2,2.6,2.1,2.2,3,4.2,2,1.5,3.1,1.9,3.4,1.4,4.1
Michel,Vorm,GLK,TOT,5000000,0,9,0.428571428571429,8.57142857142857E-08,1.8E-06,0,16839,0,1,0,6,0,0,0,1.8,1306,0,0,9,0,0,0,0,0,0,1,0,0,0.4,17374,0,3,0,0,236,122,0,0,51,West Brom,Bournemouth,Leicester,Arsenal,West Ham,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.4,0.2,0.2,0.2
Matej,Vydra,FWD,WAT,4500000,0,1,1,2.22222222222222E-07,2.22222222222222E-07,0,21311,0,0,0,0,0,0,0,0.2,970,0,0,1,0,0,0,0,0,0,0,0,0,0.4,3855,0,0,0,0,3,47,0,0,3,Middlesbrough,Swansea,Hull City,Liverpool,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Theo,Walcott,MID,ARS,7700000,6,42,6,7.79220779220779E-07,5.45454545454545E-06,0,92081,0,7,0,0,0,3,0,5.5,9999,2,-1,42,-2,1.2,1,9,3,0,3,0,3,10.1,398269,0,316,0,1,611,137380,1,0,149,Swansea,Middlesbrough,Sunderland,Tottenham,Man Utd,6.9,7.6,8.1,6.3,7.6,8.7,6.4,7,6.6,5.3,6.6,6.5,6,8.2,8.9,7.3,6.3,5.9,6.5,4.2,8.9,6.9,6.4,6.9,6.9,8.4,7.9,5.7,7.1,7.8,7
Kyle,Walker,DEF,TOT,6000000,6,40,5.7,9.5E-07,6.66666666666667E-06,0,192842,2,2,0,0,0,0,0,6.8,7611,5,-1,40,-5,0.8,0,5,7,0,4,0,2,36.2,766638,0,461,0,1,567,85263,1,0,165,West Brom,Bournemouth,Leicester,Arsenal,West Ham,7,6,8.2,7.3,8.3,5.8,7.4,5.4,6.9,8.6,6.7,6.3,7.3,7.8,5.2,6.9,6.7,6.4,7.8,7.5,7.2,8.5,5.9,7.5,7.5,8.6,5,7.8,6.8,6.2,7.9
Jonathan,Walters,MID,STK,5700000,4,11,0.523809523809524,9.18964076858814E-08,1.92982456140351E-06,0,5532,0,10,0,0,0,0,0,1.9,234,-3,0,11,3,0.4,0,2,0,0,0,0,1,0.1,592,0,312,0,0,261,102,0,0,30,Sunderland,Hull City,Swansea,West Ham,Bournemouth,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
