FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Lee,Cattermole,MID,SUN,4300000,0,3,0.0555555555555556,1.29198966408269E-08,6.97674418604651E-07,0,5472,1,3,0,0,0,0,0,0.7,44,-2,0,3,2,0,0,0,0,0,0,0,0,0.1,1509,0,246,0,0,175,21,0,0,17,Burnley,Liverpool,Stoke,West Brom,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santiago,Cazorla,MID,ARS,7000000,0,38,0.703703703703704,1.00529100529101E-07,5.42857142857143E-06,0,367190,2,5,0,0,0,2,0,5.4,911,-5,0,38,5,0,0,0,5,0,4,0,2,1.6,329701,0,259,0,0,618,61,0,0,159,Crystal Palace,Bournemouth,Swansea,Burnley,Watford,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Petr,Cech,GLK,ARS,5400000,6,56,3.1,5.74074074074074E-07,1.03703703703704E-05,0,339870,2,19,0,47,0,0,0,10.4,8363,-1,0,56,1,0.5,0,2.8,0,0,5,0,0,15,227777,1,409,0,0,1620,4820,0,0,289,Crystal Palace,Bournemouth,Swansea,Burnley,Watford,3.3,2.9,2.8,3.9,3.3,2.6,3.7,3.4,3.4,2.9,3.1,3.1,4.4,3.4,2.9,3.3,2.8,2.5,3.8,3.3
,Cedric,DEF,SOU,4900000,0,40,3.3,6.73469387755102E-07,8.16326530612245E-06,0,100063,1,14,0,0,0,0,0,8.2,3279,-1,0,40,1,0.1,0,0.6,7,0,4,0,0,1.9,125547,0,320,0,0,1002,3051,0,0,236,West Brom,Everton,Burnley,Leicester,Swansea,4,2.7,2.4,3.4,2.8,4.8,2.4,4.7,2.7,2.9,2.8,4.7,3.8,3.1,3.6,2.7,4.2,3.4,2.9,4.5
Nacer,Chadli,MID,WBA,6100000,3,59,4.5,7.37704918032787E-07,9.67213114754098E-06,0,249421,1,12,0,0,0,4,0,9.7,3969,-4,0,59,4,0.3,0,2,8,0,3,0,2,1.6,283808,0,173,0,2,860,2865,0,0,180,Southampton,Hull City,Tottenham,Sunderland,Middlesbrough,3.8,5.2,3,6.8,4.6,4.9,3.5,5.8,4.6,4.1,3.7,4.4,4.7,5.1,3.7,3.5,6.3,4,4.1,4.3
Nathaniel,Chalobah,MID,CHE,4500000,1,9,0.166666666666667,3.7037037037037E-08,2E-06,0,690,1,0,0,0,0,0,0,2,25,0,0,9,0,0.1,0,0.4,0,0,0,0,1,0,849,0,0,0,0,72,17,0,0,32,Stoke,Tottenham,Leicester,Hull City,Liverpool,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,Chamberlain,MID,ARS,5800000,0,48,0.888888888888889,1.53256704980843E-07,8.27586206896552E-06,0,135100,0,9,0,0,0,2,0,8.3,7108,-2,0,48,2,0.7,0,4,2,0,1,0,4,1.4,109470,0,186,0,1,704,630,0,0,207,Crystal Palace,Bournemouth,Swansea,Burnley,Watford,0,0,0.4,0.6,0.5,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.6,0.4,0.4,0.4,0.4
Calum,Chambers,DEF,MID,4400000,2,37,2.8,6.36363636363636E-07,8.40909090909091E-06,0,133017,3,17,0,0,0,1,0,8.4,2930,-1,0,37,1,0.8,0,3.6,1,0,3,0,0,3.4,121941,0,70,0,0,1170,5536,0,0,238,Man Utd,Leicester,Watford,West Ham,West Brom,1.8,2.5,2.2,3.9,3.1,2.3,2.9,2.9,3.2,2.9,2.2,2.3,2.8,3.4,3.9,2.5,2.7,2.2,3.6,2.8
James,Chester,DEF,WBA,4500000,0,0,0,0,0,0,4433,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,85,0,0,0,4,0,0,0,Southampton,Hull City,Tottenham,Sunderland,Middlesbrough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benjamin,Chilwell,DEF,LEI,4300000,1,1,0.0185185185185185,4.30663221360896E-09,2.32558139534884E-07,0,6166,0,2,0,0,0,0,0,0.2,59,-2,0,1,2,0,0,0.2,0,0,0,0,0,0.1,897,0,0,0,0,90,83,0,0,12,West Ham,Middlesbrough,Chelsea,Southampton,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
