FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Per,Mertesacker,DEF,ARS,4900000,0,0,0,0,0,0,3569,0,0,0,0,0,0,0,0,203,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,447,0,265,0,0,0,40,0,0,0,Burnley,Swansea,Middlesbrough,Sunderland,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David,Meyler,MID,HUL,4500000,6,16,2.7,6E-07,3.55555555555556E-06,0,5593,1,10,0,0,0,1,0,3.6,1015,0,0,16,0,0.7,0,3.3,0,0,1,0,0,0.4,9486,0,0,0,0,490,5141,0,0,96,Chelsea,Bournemouth,Stoke,Watford,Southampton,2,1.8,1.9,2.4,1.9,3.1,1.6,3.2,1.5,1.8,2.1,1.4,1.8,2.3,2.9,1.9,2.5,1.4,1.6,3.1,2.2,1.7,1.9,1.7,2.2,1.7,2.6,1.9,2,2.3,2.2,1.5
Matt,Miazga,DEF,CHE,4400000,0,0,0,0,0,0,3107,0,0,0,0,0,0,0,0,168,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,360,0,18,0,0,0,11,0,0,0,Hull City,Leicester,Man Utd,Southampton,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simon,Mignolet,GLK,LIV,5000000,0,16,3.2,6.4E-07,3.2E-06,0,52480,0,8,0,10,0,0,0,3.2,12488,0,0,16,0,0.3,0,1.7,1,0,0,0,0,3,62027,0,340,1,0,450,3049,0,0,81,Swansea,Man Utd,West Brom,Crystal Palace,Watford,2.9,2.8,3.6,3,3.7,2.6,3.6,2.5,4.8,2.2,1.9,4.7,3.1,2.4,1.6,3.5,3.9,2.9,4,1.6,4.7,4.8,1.7,3.7,4.8,3.5,2.4,4.3,2.2,4.5,3.3,3.2
,Mika,GLK,SUN,4500000,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,18,0,0,0,West Brom,Stoke,West Ham,Arsenal,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Obi,Mikel,MID,CHE,4400000,0,0,0,0,0,0,3160,0,0,0,0,0,0,0,0,339,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,1537,0,209,0,0,0,225,0,0,0,Hull City,Leicester,Man Utd,Southampton,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James,Milner,MID,LIV,6500000,14,33,1.83333333333333,2.82051282051282E-07,5.07692307692308E-06,0,25750,1,6,0,0,0,3,0,5.1,5338,0,0,33,0,1.1,0,7,6,0,0,0,1,2.8,84986,0,508,0,2,436,55619,0,0,151,Swansea,Man Utd,West Brom,Crystal Palace,Watford,1,1.5,1.3,0.9,1.5,0.9,1.8,0.9,1.4,1.2,0.9,1.5,1,1.1,0.9,1.4,1.5,0.9,1.2,0.9,0.9,2.3,0.9,1.4,2.2,0.9,0.9,1.2,0.9,1.5,0.9,1.7
Tyrone,Mings,DEF,BOU,4500000,0,0,0,0,0,0,481,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,340,0,1,0,0,0,56,0,0,0,Watford,Hull City,Tottenham,Middlesbrough,Sunderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin,Mirallas,MID,EVE,6600000,1,25,4.2,6.36363636363636E-07,3.78787878787879E-06,0,110402,0,4,0,0,0,1,0,3.8,26586,1,0,25,-1,0.5,0,3,1,0,2,0,2,3.9,197774,0,245,0,0,444,4132,0,0,78,Crystal Palace,Man City,Burnley,West Ham,Chelsea,4.2,2.6,2.9,4.6,3,4.6,3.1,4.9,3.8,3.2,4,3.4,4.3,4.9,3.6,3.4,4.1,6.2,4.9,5.5,2.8,4.4,3.9,2.1,3.9,6.2,6.3,3.2,5,4.6,4.8,2.4
Henrikh,Mkhitaryan,MID,MUN,9000000,0,4,0.222222222222222,2.46913580246914E-08,4.44444444444444E-07,0,227140,0,2,0,0,0,0,0,0.4,4228,-5,0,4,5,0,0,0.3,0,0,0,0,0,1.4,4272,0,0,0,0,107,26,0,0,8,Stoke,Liverpool,Chelsea,Burnley,Swansea,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
