FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Darren,Randolph,GLK,WHU,4400000,8,24,0.470588235294118,1.06951871657754E-07,5.45454545454545E-06,0,11462,0,11,0,22,0,0,0,5.5,943,-1,0,24,1,1,0,4.4,3,0,2,0,0,0.8,15594,0,56,0,0,540,4590,0,0,118,Swansea,Leicester,Man Utd,Crystal Palace,Middlesbrough,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Angel,Rangel,DEF,SWA,4300000,1,15,0.294117647058824,6.83994528043776E-08,3.48837209302326E-06,0,9635,1,19,0,0,0,0,0,3.5,213,-2,0,15,2,0.4,0,1.6,1,0,1,0,0,0.2,2831,0,194,0,0,660,216,0,0,140,West Ham,Bournemouth,Crystal Palace,Arsenal,Liverpool,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Tokelo,Rantie,FWD,BOU,4500000,0,0,0,0,0,0,13270,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1674,0,3,0,0,0,32,0,0,0,Chelsea,Swansea,Arsenal,Hull City,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus,Rashford,FWD,MUN,6500000,1,32,0.627450980392157,9.65309200603318E-08,4.92307692307692E-06,0,453526,2,12,0,0,0,3,0,4.9,14084,-5,0,32,5,0.2,0,1,0,0,2,0,0,4.5,392332,0,237,0,0,780,2576,0,0,135,Sunderland,Middlesbrough,West Ham,Liverpool,Stoke,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Adam,Reach,MID,MID,4400000,0,0,0,0,0,0,2221,0,0,0,0,0,0,0,0,22,-1,0,0,1,0,0,0,0,0,0,0,0,0,473,0,0,0,0,0,4,0,0,0,Burnley,Man Utd,Leicester,Watford,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan,Redmond,MID,SOU,5900000,5,63,3.7,6.27118644067797E-07,1.06779661016949E-05,0,510156,1,16,0,0,0,3,0,10.7,14649,-1,0,63,1,0.5,0,2.8,7,0,6,0,1,6.3,473085,0,379,0,0,1431,5612,0,0,238,Tottenham,West Brom,Everton,Burnley,Leicester,3.8,3.9,2.7,2.8,5.1,2.9,3.8,3.7,2.8,3.2,4.1,2,4.5,3.6,2.8,3.2,2.2,4.2,1.8,3.2,3.7
Harrison,Reed,MID,SOU,4300000,1,2,0.0392156862745098,9.11992704058368E-09,4.65116279069767E-07,0,2325,0,1,0,0,0,0,0,0.5,69,-2,0,2,2,0,0,0.2,0,0,0,0,0,0.1,1490,0,1,0,0,58,45,0,0,11,Tottenham,West Brom,Everton,Burnley,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Winston,Reid,DEF,WHU,5000000,9,57,4.1,8.2E-07,1.14E-05,0,88689,5,24,0,0,0,1,0,11.4,3297,0,0,57,0,0.6,0,3.2,12,0,5,0,3,2.6,100008,0,294,0,1,1247,10915,0,1,326,Swansea,Leicester,Man Utd,Crystal Palace,Middlesbrough,3.8,2.6,4.2,5.1,4,5,4.5,5.3,3.8,4.7,4.1,4.8,4.4,5.1,5.1,3.3,5.4,5.1,5.8,6,3.5
Jeff,Reine-Adelaide,MID,ARS,4500000,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,8,0,0,0,West Brom,Crystal Palace,Bournemouth,Swansea,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loic,Remy,FWD,CRY,6300000,0,0,0,0,0,0,21834,0,0,0,0,0,0,0,0,115,-2,0,0,2,0,0,0,0,0,0,0,0,0.2,14889,0,62,0,0,0,61,0,0,0,Watford,Arsenal,Swansea,West Ham,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,Rhodes,FWD,MID,5400000,0,8,0.156862745098039,2.90486564996369E-08,1.48148148148148E-06,0,37425,0,2,0,0,0,0,0,1.5,285,-6,0,8,6,0.1,0,0.6,0,0,0,0,0,0.2,3066,0,0,0,0,211,100,0,0,21,Burnley,Man Utd,Leicester,Watford,West Ham,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Andrew,Robertson,DEF,HUL,4300000,2,20,1.5,3.48837209302326E-07,4.65116279069767E-06,0,64642,2,25,0,0,0,0,0,4.7,595,-2,0,20,2,0.3,0,1.4,1,0,1,0,0,0.9,49838,0,0,0,0,1053,617,0,0,171,Man City,Everton,West Brom,Bournemouth,Chelsea,1,1.2,0.9,1.5,0.8,0.8,1.5,1.6,1.4,0.8,1.1,0.8,1.8,1,0.8,1.3,1.2,1,1.1,1,1.4
Paul,Robinson,GLK,BUR,4000000,0,3,0.0588235294117647,1.47058823529412E-08,7.5E-07,0,37112,0,4,0,5,0,0,0,0.8,1289,0,0,3,0,0.1,0,0.6,0,0,0,0,0,2.6,24624,0,0,0,0,180,1884,0,0,27,Middlesbrough,Sunderland,Man City,Southampton,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joel,Robles,GLK,EVE,4700000,1,8,0.156862745098039,3.3375052148519E-08,1.70212765957447E-06,0,3502,0,1,0,4,0,0,0,1.7,79,-3,0,8,3,0,0,0.2,0,0,1,0,0,0.1,1255,0,110,0,0,117,84,0,0,32,Leicester,Hull City,Southampton,Man City,Crystal Palace,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Ethan,Robson,MID,SUN,4500000,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,24,0,0,0,Man Utd,Burnley,Liverpool,Stoke,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
