FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Dean,Marney,MID,BUR,4500000,1,21,2.6,5.77777777777778E-07,4.66666666666667E-06,0,17762,1,11,0,0,0,0,0,4.7,3478,0,0,21,0,0.4,0,2,1,0,2,0,1,0.9,41501,0,0,0,0,701,2615,0,0,100,Everton,Man Utd,Crystal Palace,West Brom,Man City,2.5,1.5,2.2,1.3,2.1,1.3,3.2,1.3,1.3,2.9,3.2,1.3,2.6,1.3,3.6,1.5,2.4,1.6,1.7,1.3,1.8,2.3,2.6,2.2,1.3,2.7,1.5,2.3,1.3,2.2
David,Marshall,GLK,HUL,4500000,0,5,0.208333333333333,4.62962962962963E-08,1.11111111111111E-06,0,1241,0,13,0,16,0,0,0,1.1,245,0,0,5,0,0.4,0,1.7,0,0,0,0,0,0.1,3946,0,0,0,0,270,333,0,0,60,Stoke,Watford,Southampton,Sunderland,West Brom,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Anthony,Martial,MID,MUN,9300000,0,23,0.958333333333333,1.03046594982079E-07,2.47311827956989E-06,0,267636,0,3,0,0,0,1,0,2.5,4311,-2,0,23,2,0.2,0,2,3,0,1,0,2,3,94406,0,593,0,1,295,237,0,0,68,Chelsea,Burnley,Swansea,Arsenal,West Ham,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Cuco,Martina,DEF,SOU,4300000,2,10,0.416666666666667,9.68992248062016E-08,2.32558139534884E-06,0,5108,0,1,0,0,0,0,0,2.3,964,-2,0,10,2,0.7,0,3,0,0,1,0,0,0.4,13923,0,203,0,0,166,3804,0,0,37,Man City,Chelsea,Hull City,Liverpool,Everton,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Bruno,Martins Indi,DEF,STK,4900000,8,12,2.4,4.89795918367347E-07,2.44897959183673E-06,0,1344,0,10,0,0,0,0,0,2.4,163,-1,0,12,1,0.8,0,4,2,0,1,0,0,0.1,3978,0,0,0,0,450,1334,0,0,90,Hull City,Swansea,West Ham,Bournemouth,Watford,2.3,2,3.1,3.3,1.9,2.9,3.2,2.7,2.7,2.7,1.4,2,1.9,1.7,2.1,2.1,2.7,2,1.8,1.5,2.1,1.2,1.6,3.5,2,2.1,3.3,1.7,3.2,1.8
Ryan,Mason,MID,HUL,4900000,7,12,0.5,1.02040816326531E-07,2.44897959183673E-06,0,2546,1,13,0,0,0,1,0,2.4,139,-1,0,12,1,0.7,0,3.3,0,0,0,0,0,0.1,2840,0,147,0,0,290,407,0,0,54,Stoke,Watford,Southampton,Sunderland,West Brom,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Arthur,Masuaku,DEF,WHU,4800000,0,11,2.2,4.58333333333333E-07,2.29166666666667E-06,0,21402,1,13,0,0,0,0,0,2.3,1007,-2,1,11,2,0,0,0,1,0,1,0,1,0.2,17444,0,0,0,0,436,9,-1,0,107,Sunderland,Everton,Stoke,Tottenham,Man Utd,0,0,2.8,1.9,1.3,2.8,2.6,2.4,1.6,2,1.2,1.4,2.2,1.8,1.7,1.8,1.9,1.9,1.7,1.6,2.2,2.2,3,1.6,1.8,1.7,2.6,2.3,3,1.5
Juan,Mata,MID,MUN,7400000,0,30,5,6.75675675675676E-07,4.05405405405405E-06,0,83085,0,4,0,0,0,2,0,4.1,13951,-1,0,30,1,0.7,0,5.3,3,0,3,0,1,2.2,83473,0,586,0,0,400,2357,0,0,122,Chelsea,Burnley,Swansea,Arsenal,West Ham,4.2,7.1,6.1,3.7,5,4.8,5.2,5.5,5,6.9,6.4,5,4.5,5.1,4.9,5.1,5.5,3.9,6.9,4.5,7,5.2,5.7,6.3,5.4,4.8,5.5,4,4,5.1
Nemanja,Matic,MID,CHE,5000000,6,29,3.6,7.2E-07,5.8E-06,0,57053,2,9,0,0,0,0,0,5.8,3988,0,0,29,0,0.9,0,4.3,0,0,3,0,4,2.9,61213,0,373,0,0,685,9509,0,0,148,Man Utd,Southampton,Everton,Middlesbrough,Tottenham,4,2.4,3.8,4.2,3.4,2,3.4,3.6,3,4.7,3.9,2,2.7,3.2,1.8,2.4,2.6,3.6,2.6,3.6,2.7,3.4,3.3,2,3.1,3.9,2.5,4.3,2.7,4.7
Joel,Matip,DEF,LIV,5400000,7,16,2.7,5E-07,2.96296296296296E-06,0,35515,1,5,0,0,0,0,0,3,1202,-1,0,16,1,0.7,0,3.7,1,0,1,0,0,1.8,26414,0,0,0,0,540,5671,0,0,103,West Brom,Crystal Palace,Watford,Southampton,Sunderland,2.9,3,2.6,2.1,3,1.8,3.8,2.1,1.7,4,2.7,2.1,1.5,2.5,2.7,2.6,3.4,1.4,3.7,3.5,1.6,2.7,3.9,3.1,2.3,3.3,2.2,3.3,3.3,2.2
