FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Craig,Cathcart,DEF,WAT,4300000,0,6,1.2,2.7906976744186E-07,1.3953488372093E-06,0,16801,1,7,0,0,0,0,0,1.4,387,-2,0,6,2,0,0,0,0,0,0,0,0,0.2,3561,0,335,0,0,405,14,0,0,51,Everton,Man City,Sunderland,Crystal Palace,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee,Cattermole,MID,SUN,4300000,0,3,0.0714285714285714,1.66112956810631E-08,6.97674418604651E-07,0,5229,1,3,0,0,0,0,0,0.7,118,-2,0,3,2,0,0,0,0,0,0,0,0,0.1,1454,0,246,0,0,175,18,0,0,17,Swansea,Chelsea,Watford,Man Utd,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santiago,Cazorla,MID,ARS,7000000,0,38,0.904761904761905,1.29251700680272E-07,5.42857142857143E-06,0,361625,2,5,0,0,0,2,0,5.4,3850,-5,1,38,5,0,0,0,5,0,4,0,2,1.8,329458,0,259,0,0,618,105,-1,0,159,Stoke,Everton,Man City,West Brom,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Petr,Cech,GLK,ARS,5500000,2,44,3.1,5.63636363636364E-07,8E-06,0,268887,2,14,0,37,0,0,0,8,12249,0,0,44,0,0.4,0,2.3,0,0,4,0,0,16.6,217096,1,409,0,0,1260,10267,0,0,224,Stoke,Everton,Man City,West Brom,Crystal Palace,3.6,2.8,3,3.3,3.1,3.2,3.2,3.6,3.1,2.7,3.3,3.3,3.9,2.8,3.5,2.5,4.1,3.4,3.2,2.9,2.8,2.4,4,3.5
,Cedric,DEF,SOU,5000000,1,38,3.8,7.6E-07,7.6E-06,0,69788,1,9,0,0,0,0,0,7.6,2019,0,-1,38,0,0.9,0,4.7,7,0,4,0,0,2.4,117333,0,320,0,0,822,17123,1,0,203,Middlesbrough,Stoke,Bournemouth,Tottenham,West Brom,4.4,4.7,3.6,4.9,4.9,3.1,3,4.4,3.7,5.6,2.8,5.2,3.6,3.9,3.2,5.6,4.8,4,4,3,5,4.2,3.7,5.3
Nacer,Chadli,MID,WBA,6300000,1,50,1.19047619047619,1.8896447467876E-07,7.93650793650794E-06,0,222231,1,10,0,0,0,4,0,7.9,13527,-2,0,50,2,0.1,0,0.7,8,0,1,0,2,2.1,276482,0,173,0,2,635,1831,0,0,154,Chelsea,Swansea,Man Utd,Arsenal,Southampton,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.9,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.9,0.6,0.6,0.6
Nathaniel,Chalobah,MID,CHE,4500000,0,7,0.166666666666667,3.7037037037037E-08,1.55555555555556E-06,0,593,1,0,0,0,0,0,0,1.6,59,0,0,7,0,0.1,0,0.3,0,0,0,0,1,0,775,0,0,0,0,62,42,0,0,26,West Brom,Sunderland,Crystal Palace,Bournemouth,Stoke,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,Chamberlain,MID,ARS,5800000,12,40,0.952380952380952,1.64203612479475E-07,6.89655172413793E-06,0,100127,0,6,0,0,0,2,0,6.9,1752,-2,0,40,2,1,0,6,2,0,1,0,3,1.8,88533,0,186,0,1,553,19076,0,0,176,Stoke,Everton,Man City,West Brom,Crystal Palace,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5
Calum,Chambers,DEF,MID,4400000,7,26,2.9,6.59090909090909E-07,5.90909090909091E-06,0,124604,3,12,0,0,0,1,0,5.9,1945,-1,0,26,1,0.6,0,2.7,1,0,2,0,0,3.1,100536,0,70,0,0,810,3909,0,0,168,Southampton,Liverpool,Swansea,Burnley,Man Utd,2.9,4.2,2.7,2.3,2.2,2.6,2.8,3.9,3.1,2.5,3.3,3,3.6,2.7,2.2,2.8,3.1,3.4,3.7,2.8,2.3,2.3,3.4,3.5
James,Chester,DEF,WBA,4500000,0,0,0,0,0,0,4337,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,85,0,0,0,12,0,0,0,Chelsea,Swansea,Man Utd,Arsenal,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benjamin,Chilwell,DEF,LEI,4300000,0,0,0,0,0,0,5932,0,0,0,0,0,0,0,0,69,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,738,0,0,0,0,0,33,0,0,0,Man City,Bournemouth,Stoke,Everton,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pedro,Chirivella,MID,LIV,4300000,0,0,0,0,0,0,1575,0,0,0,0,0,0,0,0,53,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,1041,0,2,0,0,0,35,0,0,0,West Ham,Middlesbrough,Everton,Stoke,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
