FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Pierre-Emile,H?jbjerg,MID,SOU,4300000,3,20,0.512820512820513,1.19260584376863E-07,4.65116279069767E-06,0,91534,1,4,0,0,0,0,0,4.7,1597,-2,0,20,2,0.5,0,2,0,0,4,0,0,1.5,38233,0,0,0,0,654,2916,0,0,121,Crystal Palace,Middlesbrough,Stoke,Bournemouth,Tottenham,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Rob,Holding,DEF,ARS,4100000,0,7,0.179487179487179,4.37773608505316E-08,1.70731707317073E-06,0,59929,1,5,0,0,0,0,0,1.7,819,-4,0,7,4,0,0,0,0,0,1,0,0,0.6,40137,0,0,0,0,270,462,0,0,61,West Ham,Stoke,Everton,Man City,West Brom,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Jose,Holebas,DEF,WAT,4800000,0,41,3.4,7.08333333333333E-07,8.54166666666667E-06,0,143700,6,20,0,0,0,2,0,8.5,33478,3,0,41,-3,-0.1,0,-0.7,5,0,3,0,1,7.5,417846,0,96,0,1,1044,2342,0,0,193,West Brom,Everton,Man City,Sunderland,Crystal Palace,0,4.2,3,2.8,3.8,4,4.6,3.2,3.5,4.6,4.3,2.7,4.8,4.2,2.9,4,3.5,3.8,3.2,3.4,3.8,5,2.2,2.8,3.1
Mason,Holgate,DEF,EVE,4100000,0,16,0.41025641025641,1.00062539086929E-07,3.90243902439024E-06,0,236763,0,2,0,0,0,0,0,3.9,4903,-4,0,16,4,0,0,0,3,0,1,0,1,3.1,307733,0,0,0,0,270,2559,0,0,78,Man Utd,Watford,Arsenal,Liverpool,Leicester,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
George,Honeyman,MID,SUN,4500000,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,12,0,0,0,Leicester,Swansea,Chelsea,Watford,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom,Huddlestone,MID,HUL,4700000,0,17,0.435897435897436,9.27441352973268E-08,3.61702127659574E-06,0,8920,2,13,0,0,0,0,0,3.6,261,-3,0,17,3,0.1,0,0.3,0,0,1,0,1,0.2,4072,0,0,0,0,592,46,0,0,90,Middlesbrough,Crystal Palace,Tottenham,West Ham,Man City,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Robert,Huth,DEF,LEI,5000000,1,27,2.3,4.6E-07,5.4E-06,0,41045,4,20,0,0,0,0,0,5.4,2709,0,0,27,0,0.2,0,1,0,0,3,0,1,1.6,42748,0,453,0,0,1076,458,0,0,164,Sunderland,Man City,Bournemouth,Stoke,Everton,1.2,1.9,1.5,2.2,2.7,3.3,1.5,2.2,1.5,1.2,1.9,1.5,3.4,2.5,2.6,2.2,2.8,2.2,1.2,1.8,2.6,1.6,2.4,1.2,3.1
Emerson,Hyndman,MID,BOU,4400000,0,0,0,0,0,0,961,0,0,0,0,0,0,0,0,18,-1,1,0,1,0,0,0,0,0,0,0,0,0,474,0,0,0,0,0,35,-1,0,0,Liverpool,Burnley,Leicester,Southampton,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordon,Ibe,MID,BOU,5000000,1,21,0.538461538461538,1.07692307692308E-07,4.2E-06,0,148840,0,11,0,0,0,0,0,4.2,1706,-5,0,21,5,0.1,0,0.7,0,0,3,0,0,1.5,23913,0,184,0,0,685,163,0,0,86,Liverpool,Burnley,Leicester,Southampton,Chelsea,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Zlatan,Ibrahimovic,FWD,MUN,11100000,9,63,5.3,4.77477477477477E-07,5.67567567567568E-06,0,1677480,4,14,0,0,0,7,0,5.7,16881,-4,0,63,4,0.6,0,7,12,0,4,0,1,25.9,927026,0,0,0,3,1080,25444,0,0,204,Everton,Tottenham,Crystal Palace,West Brom,Sunderland,5.7,7.1,7.1,6.5,7.7,6.4,6.6,7.7,6.9,7.2,6.1,6.7,6.9,7.4,5.8,6.8,6.7,7.7,6.5,6.2,6,7,6.4,5.8,7
Odion,Ighalo,FWD,WAT,7000000,1,28,2.5,3.57142857142857E-07,4E-06,0,298591,1,18,0,0,0,1,0,4,6049,-5,0,28,5,0.1,0,1,2,0,2,0,1,3.4,87848,0,709,0,0,869,446,0,0,69,West Brom,Everton,Man City,Sunderland,Crystal Palace,2.2,2.8,2.4,2.2,2.6,2.4,2.3,2.1,1.7,2.1,3,1.9,2.8,2.3,1.6,2.7,2.8,2.2,1.9,2.6,3,2.7,2,1.8,2.5
Kelechi,Iheanacho,FWD,MCI,6600000,0,36,4.5,6.81818181818182E-07,5.45454545454545E-06,0,463222,0,2,0,0,0,3,0,5.5,17044,-4,1,36,4,0,0,0.3,6,0,1,0,3,2.9,465919,0,242,0,1,288,637,-1,0,133,Chelsea,Leicester,Watford,Arsenal,Hull City,4.8,4.9,5.3,4.8,6,5,6.5,4.6,5.6,5.5,5.9,4.3,5.1,5.4,5.1,6.1,5.2,4.3,6,4.7,5.3,5.5,5.8,6.4,5.1
Giannelli,Imbula,MID,STK,4600000,3,12,0.307692307692308,6.68896321070234E-08,2.60869565217391E-06,0,11974,0,8,0,0,0,0,0,2.6,123,-4,0,12,4,0.2,0,1,1,0,1,0,0,0.2,4361,0,194,0,0,398,199,0,0,66,Burnley,Arsenal,Southampton,Leicester,Liverpool,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Danny,Ings,FWD,LIV,5500000,0,0,0,0,0,0,21759,0,0,0,0,0,0,0,0,202,-5,0,0,5,0,0,0,0,0,0,0,0,0.2,3433,0,81,0,0,0,20,0,0,0,Bournemouth,West Ham,Middlesbrough,Everton,Stoke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
