FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Joel,Robles,GLK,EVE,4800000,7,7,0.233333333333333,4.86111111111111E-08,1.45833333333333E-06,0,2823,0,0,0,3,0,0,0,1.5,108,-2,0,7,2,0.5,0,2.3,0,0,1,0,0,0.1,871,0,110,0,0,90,307,0,0,26,Chelsea,Swansea,Southampton,Man Utd,Watford,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Hal,Robson-Kanu,FWD,WBA,5000000,1,8,0.266666666666667,5.33333333333333E-08,1.6E-06,0,6109,0,1,0,0,0,0,0,1.6,909,0,0,8,0,0.3,0,1.7,0,0,0,0,1,0.2,11931,0,0,0,0,49,2103,0,0,31,Leicester,Burnley,Hull City,Watford,Chelsea,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Jay,Rodriguez,MID,SOU,6300000,0,11,0.366666666666667,5.82010582010582E-08,1.74603174603175E-06,0,15791,0,3,0,0,0,1,0,1.7,460,-2,0,11,2,0,0,0.3,2,0,0,0,0,0.2,3639,0,56,0,0,89,17,0,0,23,Hull City,Liverpool,Everton,Crystal Palace,Middlesbrough,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Jack,Rodwell,MID,SUN,4500000,2,17,2.1,4.66666666666667E-07,3.77777777777778E-06,0,63545,2,15,0,0,0,0,0,3.8,2934,0,0,17,0,0.4,0,1.7,1,0,0,0,1,1.2,64660,0,112,0,0,639,315,0,0,89,Bournemouth,Hull City,Liverpool,Leicester,Swansea,1,1.4,1,2.5,1.5,1.3,1.6,1.4,1.1,1.1,1.5,1.4,1.4,1.2,1.5,1,1.2,1.6,2,1.4,1.3,1.9,1.5,1,2.2,1.5,1.6,1
Marcos,Rojo,DEF,MUN,5200000,6,6,0.2,3.84615384615385E-08,1.15384615384615E-06,0,13538,0,2,0,0,0,0,0,1.2,327,-3,0,6,3,0.4,0,2,0,0,1,0,0,0.4,2436,0,192,0,0,129,944,0,0,30,Swansea,Arsenal,West Ham,Everton,Tottenham,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Sergio,Romero,GLK,MUN,4800000,0,0,0,0,0,0,2551,0,0,0,0,0,0,0,0,111,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,496,0,40,0,0,0,30,0,0,0,Swansea,Arsenal,West Ham,Everton,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salomon,Rondon,FWD,WBA,6600000,2,39,3.9,5.90909090909091E-07,5.90909090909091E-06,0,208282,0,14,0,0,0,3,0,5.9,23894,1,0,39,-1,0.3,0,2,5,0,2,0,1,4.7,282035,0,354,0,0,834,8275,0,0,96,Leicester,Burnley,Hull City,Watford,Chelsea,3.7,4.8,5.7,3.9,3.6,4.6,4,4.2,4.2,4.8,3.6,5.3,4.3,4.4,4.5,5.2,4.5,3.7,3.4,3.7,4,4.3,5,4.7,5.2,3.7,4,5.1
Wayne,Rooney,FWD,MUN,8600000,1,22,0.733333333333333,8.52713178294574E-08,2.55813953488372E-06,0,221224,3,7,0,0,0,1,0,2.6,3876,-4,0,22,4,0.1,0,0.7,1,0,2,0,2,2.5,100102,0,509,0,0,510,920,0,0,101,Swansea,Arsenal,West Ham,Everton,Tottenham,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Danny,Rose,DEF,TOT,5900000,1,32,5.3,8.98305084745763E-07,5.42372881355932E-06,0,190464,4,3,0,0,0,1,0,5.4,8138,-1,0,32,1,0.3,0,2,3,0,3,0,1,5.6,106908,0,346,0,1,540,4879,0,0,126,Arsenal,West Ham,Chelsea,Swansea,Man Utd,7,7.9,5.2,6.8,5,6.8,8,6.4,6.1,6.9,7.2,5.1,6.2,6.6,6.2,7.5,7.1,6.8,7.6,5.5,6.4,7.1,8,4,7.1,6.2,6.5,7
Jack,Rose,GLK,WBA,4000000,0,0,0,0,0,0,1794,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0.2,6214,0,0,0,0,0,326,0,0,0,Leicester,Burnley,Hull City,Watford,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wayne,Routledge,MID,SWA,4700000,8,22,2.8,5.95744680851064E-07,4.68085106382979E-06,0,20526,0,11,0,0,0,1,0,4.7,688,-3,0,22,3,0.9,0,4.3,1,0,2,0,0,0.3,9586,0,269,0,0,578,3195,0,0,87,Man Utd,Everton,Crystal Palace,Tottenham,Sunderland,2.6,1.9,1.9,1.8,3,2.5,2.8,2.2,3,2.3,1.4,1.4,2.1,1.7,3.4,1.6,2.8,2.7,1.7,2.4,2,1.9,2.4,2.1,2.5,2.3,2.9,2.1
