FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Mike,van der Hoorn,DEF,SWA,4300000,7,15,0.454545454545455,1.05708245243129E-07,3.48837209302326E-06,0,7653,1,11,0,0,0,1,0,3.5,1247,-2,0,15,2,1.1,0,4.7,0,0,1,0,0,0.5,15250,0,0,0,1,450,11581,0,0,82,Everton,Crystal Palace,Tottenham,Sunderland,West Brom,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2
Virgil,van Dijk,DEF,SOU,5400000,1,31,2.8,5.18518518518518E-07,5.74074074074074E-06,0,221966,3,12,0,0,0,0,0,5.7,12356,-1,0,31,1,0.2,0,1.3,4,0,3,0,0,9.1,100266,0,452,0,1,990,7855,0,0,210,Liverpool,Everton,Crystal Palace,Middlesbrough,Stoke,4.1,3.1,3.1,2.6,3.1,2.4,3.3,2.9,1.9,1.9,2.8,2.7,4.1,2.3,3.7,2.4,2.2,2.5,4,3.2,2.9,2.3,1.9,2.8,3.3,2.4,3.5
Marco,Van Ginkel,MID,CHE,4900000,0,0,0,0,0,0,1052,0,0,0,0,0,0,0,0,17,-1,0,0,1,0,0,0,0,0,0,0,0,0,97,0,81,0,0,0,2,0,0,0,Middlesbrough,Tottenham,Man City,West Brom,Sunderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamie,Vardy,FWD,LEI,9600000,1,35,3.2,3.33333333333333E-07,3.64583333333333E-06,0,748007,1,18,0,0,0,2,0,3.6,20172,-4,1,35,4,0.2,0,2,3,0,3,0,2,9.4,150879,0,945,0,0,801,5922,-1,0,120,Watford,Middlesbrough,Sunderland,Man City,Bournemouth,2.2,3.5,3.1,4.1,1.8,2.6,4.2,4.3,2.4,3.5,2.4,2,3.6,3.1,4.5,4.5,2.4,2.5,3.9,4.4,2,3.1,3.7,2.9,3.7,2.8,4.5
Guillermo,Varela,DEF,MUN,4500000,0,0,0,0,0,0,338,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,36,0,0,0,7,0,0,0,Arsenal,West Ham,Everton,Tottenham,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thibaud,Verlinden,MID,STK,4500000,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,31,0,0,0,Bournemouth,Watford,Burnley,Arsenal,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan,Vertonghen,DEF,TOT,5700000,2,40,3.6,6.31578947368421E-07,7.01754385964912E-06,0,83995,4,6,0,0,0,0,0,7,10040,2,0,40,-2,0.5,0,3,2,0,5,0,0,8.6,278190,0,335,0,0,990,29898,0,0,231,West Ham,Chelsea,Swansea,Man Utd,Hull City,5.3,2.7,4.1,2.5,4.2,4.7,3.7,3.4,4.1,4.3,2.9,3.2,3.9,4.1,5,4.5,4.3,4.7,2.7,3.7,4.4,5.4,2.1,4.8,4.2,3.5,3.9
Sam,Vokes,FWD,BUR,6200000,11,46,4.2,6.7741935483871E-07,7.41935483870968E-06,0,53289,0,13,0,0,0,4,0,7.5,7326,2,-1,46,-2,1.1,0,6.7,6,0,3,0,1,4,179391,0,0,0,0,916,83593,1,0,140,West Brom,Man City,Stoke,Bournemouth,West Ham,4.5,5.8,4,6.3,4,3.1,5,6.2,4.3,5.7,3.8,6.3,3.5,5.2,5,4.7,4,4.7,5.4,5.7,3.7,3.2,5.2,4.7,5.6,2.9,6.1
Michel,Vorm,GLK,TOT,4900000,0,9,0.272727272727273,5.56586270871985E-08,1.83673469387755E-06,0,19068,0,1,0,6,0,0,0,1.8,372,-1,0,9,1,0,0,0,0,0,1,0,0,0.3,17619,0,3,0,0,236,80,0,0,51,West Ham,Chelsea,Swansea,Man Utd,Hull City,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Matej,Vydra,FWD,WAT,4500000,0,1,1,2.22222222222222E-07,2.22222222222222E-07,0,23465,0,0,0,0,0,0,0,0.2,479,0,0,1,0,0,0,0,0,0,0,0,0,0.4,3948,0,0,0,0,3,26,0,0,3,Leicester,Stoke,West Brom,Everton,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Theo,Walcott,MID,ARS,7800000,2,60,6,7.69230769230769E-07,7.69230769230769E-06,0,569951,0,10,0,0,0,5,0,7.7,74450,3,0,60,-3,0.2,1,1.7,4,0,4,0,3,12.4,958177,0,316,0,2,861,39160,0,0,192,Man Utd,Bournemouth,West Ham,Stoke,Everton,7.8,8.1,6.5,6.5,6.4,6.2,6.2,6,6.1,8.2,8,7.2,5.5,6.2,7,4.6,8.8,7.7,5.4,6.6,7.4,8.4,7.6,6.2,7.4,7.2,7.5
Kyle,Walker,DEF,TOT,6100000,2,53,4.8,7.86885245901639E-07,8.68852459016394E-06,0,313696,2,5,0,0,0,0,0,8.7,66379,6,0,53,-6,0.6,0,3.7,8,0,5,0,2,37.6,954209,0,461,0,1,916,41205,0,0,237,West Ham,Chelsea,Swansea,Man Utd,Hull City,7.1,4.3,6.1,4,6.2,6.8,5.6,5.2,6.1,6.4,4.5,5,5.9,5.5,6.8,6.7,6.1,6.9,4.3,5.6,6.5,7.2,3.4,6.5,5.6,5.3,5.9
Jonathan,Walters,MID,STK,5600000,5,18,0.545454545454546,9.74025974025974E-08,3.21428571428571E-06,0,6327,0,11,0,0,0,0,0,3.2,110,-4,0,18,4,0.4,0,2,0,0,0,0,2,0.1,804,0,312,0,0,378,100,0,0,51,Bournemouth,Watford,Burnley,Arsenal,Southampton,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Victor,Wanyama,MID,TOT,4800000,2,30,2.7,5.625E-07,6.25E-06,0,179571,3,6,0,0,0,1,0,6.3,7326,-2,0,30,2,0.4,0,2,3,0,4,0,0,3.5,210827,0,268,0,1,950,7137,0,0,186,West Ham,Chelsea,Swansea,Man Utd,Hull City,2.4,1.4,2.4,2,2.2,3,1.7,1.9,2,2.2,1.4,2.5,2.6,1.4,2.3,2.8,1.8,2.4,1.6,2.2,2.6,3.1,1.9,1.5,1.5,2.7,2
Joel,Ward,DEF,CRY,4900000,1,22,2,4.08163265306122E-07,4.48979591836735E-06,0,27622,1,19,0,0,0,0,0,4.5,1848,-1,0,22,1,0.1,0,0.7,3,0,0,0,1,0.8,14931,0,333,0,0,987,377,0,0,170,Man City,Swansea,Southampton,Hull City,Man Utd,1.2,1.7,1.8,1.9,1.1,1.5,1.6,2.8,1.4,2.5,1.7,1.6,1.4,2.1,1.4,1.9,1.9,1.6,1.2,1.8,2.4,1.5,2.4,1.8,1.3,1.5,1.1
